one,two,three,four,five,six,seven,eight,cls
135,39,79,72,77,211,57,45,5
134,40,83,68,85,205,53,45,5
137,46,85,71,80,218,61,39,5
139,46,83,72,81,217,62,43,5
140,47,83,73,81,205,63,41,5
147,48,83,73,81,221,63,40,5
131,45,85,70,76,217,57,37,5
142,40,74,73,72,222,57,37,5
136,45,82,71,82,208,58,36,5
131,42,81,72,82,214,57,36,5
123,47,78,75,77,212,47,21,5
120,40,78,69,78,210,50,28,5
121,33,79,69,80,211,49,27,5
122,47,84,70,86,200,63,41,5
135,47,84,72,82,201,61,41,5
133,47,81,73,84,202,63,40,5
136,47,81,72,86,202,62,42,5
135,48,81,72,86,203,64,47,5
130,47,82,73,84,207,64,44,5
132,49,82,71,82,200,63,39,5
132,47,81,73,83,200,55,40,5
125,42,78,71,80,194,51,30,5
119,46,83,68,80,197,56,29,5
144,45,82,76,84,202,58,42,5
139,49,84,72,84,201,62,40,5
136,49,83,72,83,202,61,46,5
143,47,85,74,85,202,66,49,5
138,48,83,73,83,199,67,49,5
140,42,78,73,85,199,59,46,5
142,45,91,72,86,199,62,42,5
139,45,86,70,86,195,44,32,5
129,40,85,69,83,198,51,33,5
133,41,89,72,79,176,54,39,5
